tipo,codigo,nombre,descripcion
1,1,DNI,
1,2,CARNET DE FUERZAS POLICIALES,
1,3,CARNE DE FUERZAS ARMADAS,
1,4,CARNE DE EXTRANJERIA,
1,7,PASAPORTE,
1,8,DOC.PROVISIONAL DE IDENTIDAD,
1,10,AUTOGENERADO,
1,11,PARTIDA DE NACIMIENTO,
1,13,TRABAJADOR MENOR DE EDAD,
2,1,AVENIDA,
2,2,JIRON,
2,3,CALLE,
2,4,PASAJE,
2,5,ALAMEDA,
2,6,MALECON,
2,7,OVALO,
2,8,PARQUE,
2,9,PLAZA,
2,10,CARRETERA,
2,11,BLOCK,
3,1,URBANIZACION,
3,2,PUEBLO JOVEN,
3,3,UNIDAD VECINAL,
3,4,CONJUNTO HABITACIONAL,
3,5,ASENTAMIENTO HUMANO,
3,6,COOPERATIVA,
3,7,RESIDENCIAL,
3,8,ZONA INDUSTRIAL,
3,9,GRUPO,
3,10,CASERIO,
3,11,FUNDO,
4,1,HIJO,
4,2,CONYUGE,
4,3,CONCUBINO,
4,4,GESTANTE,
4,5,PADRES,
4,6,APODERADO,
4,7,HIJO MENOR DE EDAD,
4,8,HIJO MAYOR DE EDAD INCAP PERM,
5,1,ESCRITURA PòBLICA,
5,2,SENTENCIA DE DECLARATORIA DE PATERNIDAD,
5,3,TESTAMENTO,
5,4,RESOLUCIîN DE INCAPACIDAD,
5,5,ACTA O PARTIDA DE MATRIMONIO CIVIL,
5,6,ACTA O PARTIDA DE MATRIMONIO INSCRITO EN REG CONSULAR PERUANO.,
5,7,ACTA O PARTIDA DE MATRIMONIO REALIZADO EN EL EXTERIOR E INSCRITO EN RENIEC O MUNICIPALIDAD.,
5,8,ESCRITURA PòBLICA - RECONOC. DE UNIîN DE HECHO - LEY N.¡ 29560,
5,9,RESOLUCIîN JUDICIAL - RECONOC. DE UNIîN DE HECHO,
5,10,ACTA DE NACIMIENTO O DOCUMENTO ANALOGO QUE SUSTENTA FILIACIîN.,
6,2,FALLECIMIENTO,
6,3,OTROS,
6,4,DIVORCIO O DISOLUCIîN DE VêNCULO MATRIMONIAL,
6,5,FIN DE CONCUBINATO,
6,6,FIN DE LA GESTACIîN,
6,7,HIJO MAYOR DE EDAD,
7,0,SIN INSTRUCCION,
7,1,PRIMARIA,
7,2,PRIMARIA INCOMPLET,
7,3,SECUNDARIA,
7,4,SECUNDARIA INCOMPL,
7,5,PROFESIONAL TECNIC,
7,6,TECNICO INCOMPLETO,
7,7,UNIVERSITARIO TITU,
7,8,UNIVERSITARIO BACH,
7,9,UNIVERSITARIO INCO,
7,10,MASTER,
7,11,DOCTORADO,
7,12,EDUC. ESPECIAL INC,
7,13,EDUC.ESPECIAL COMP,
7,14,EDUC.SUP.INST.INCO,
7,15,EDUC.SUP.INST.COMP,
7,16,UNIVERSITARIO COMP,
7,17,ESTUDIOS MAESTRIA,
7,18,ESTUDIOS MAESTRIA,
7,19,ESTUDIOS DOCTORADO,
7,20,ESTUDIOS DOCTORADO,
8,0,NINGUNA,
8,1,ARQUITECTURA,
8,2,INGENIERIA DE SISTEMAS,
8,3,INGENIERO DE INDUSTRIAL,
8,4,INGENIERO QUIMICO,
8,5,INGENIERO DE MINAS,
8,6,INGENIERO CIVIL,
8,7,INGENIERO AGRONOMO,
8,8,INGENIERO INFORMATICO,
8,9,INGENIERO,
8,10,QUIMICO FARMACEUTICO,
8,11,FARMACIA,
8,12,COMPUTACION E INFORMATICA,
8,13,SECRETARIADO EJECUTIVO BILINGE,
8,14,INGLES,
8,15,DERECHO,
8,16,"AUDICION, LENGUAJE Y PROBLEMAS DE APRENDIZAJE",
8,17,PSICOLOGIA,
8,18,INGENIERO GEOGRAFO,
8,19,ARTES PLASTICAS,
8,20,DIRECCION DE EMPRESAS,
8,21,INGENIERIA MECANICA ELECTRICA,
8,22,TRADUCCION E INTERPRETACION,
8,23,ENFERMERIA,
8,24,INGENIERIA CIVIL,
8,25,INSTRUCTORA DE INGLES,
8,26,SECRETARIA BILINGUE,
8,27,HISTORIA IBEROAMERICANA,
8,28,COMUNICACION,
